Title,PoliticalParty,Description,Cost,Location,Date,AnnouncedBy,Portfolio,AnnouncementType,WhoAnnouncedType,CommitmentType,CriticalDate,ThemeType,PackageType,OfficialCosting,CostingRequired,Status,Id
Rockhampton Ring Road,Australian Labor Party,"Labor has committed $800 million to help deliver the new Rockhampton Ring Road project, in partnership with the Queensland government.<div><br></div><div>The Ring Road will run from the Yeppen Roundabout, along the western side of the airport to a third bridge crossing, before reconnecting with the existing highway at Parkhurst.</div>",$800 million,,3/09/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,3,,,,,With Policy Area,81
Dawn Fraser Pool - funding for restoration,Australian Labor Party,Labor has committed $2 million to restore the Dawn Fraser Pool - one of Australia’s oldest swimming pools.<div><br></div>,$2 million,,13/10/2018,,"Infrastructure, Regional Development and Cities",Press Release,Local Candidate,Electorate,5,,,,,With Policy Area,82
Pride Centre - St Kilda,Australian Labor Party,"Labor has committed $10.6 million to a Pride Centre in St Kilda, Victoria. The funding, which includes $600,000 to help JOY 94.9 build new studios and upgrade to digital broadcasting, will enable the Pride Centre to be fully funded.",$10.6 million,,30/10/2018,,Health,Press Release,Deputy Leader,Electorate,5,,,,,With Policy Area,83
"Expansion of Disability Sport Programs at The Hangar, Essendon Football Club Home Base",Australian Labor Party,"Labor has committed $4 million to support the expansion of the disability sport programs at the Essendon Football Club's home base, The Hangar.&nbsp;",$4 million,,13/11/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,84
Palmerston Swimming Pool Upgrade,Australian Labor Party,"Labor has committed $5 million to upgrade the local swimming pool in Palmerston, Northern Territory.",$5 million,,15/01/2019,,"Infrastructure, Regional Development and Cities",Door Stop,Leader,Electorate,5,,,,,With Policy Area,85
Geelong City Partnership,Australian Labor Party,"Labor has committed $153 million to partner with the Victorian Government and Geelong City Council in a Geelong City Partnership.<div><br></div><div>The money will be put towards a package of tourism and visitor economy projects which have been identified by the Geelong City Council, including:</div><div><ul><li>the Geelong Convention and Exhibition Centre</li><li>the Shipwreck Coast Master Plan</li><li>Central Geelong revitalisation</li><li>Geelong Waterfront Safe Harbour project.<br></li></ul></div>",$153 million,,22/09/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,,,With Policy Area,86
Suburban Rail Loop,Australian Labor Party,"Labor has committed $300 million towards design and planning of the Suburban Rail Loop, matching the state government's commitment.&nbsp;<div><br></div><div>The Suburban Rail Loop is a proposal to build an orbital rail line linking all existing railway lines (except Sandringham and Alamein) at key points around the middle ring of Melbourne.  Monash University's main campus in Clayton, Deakin's primary Melbourne campus in Burwood and La Trobe University's main campus in Bundoora will be put directly on the rail network.</div>",$300 million,,14/10/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,1,,,,,With Policy Area,87
Science Policy - Overview,Australian Labor Party,"Labor has committed to restore trust in scientists and put science back at the centre of government by resetting the relationship between government and Australia's science and research community.<div><br></div><div>Labor will:</div><div><ul><li>Develop a charter with the Australian science and research community to establish the reciprocal roles and
responsibilities of government and researchers.</li><li>Reverse the decline in Australia's research and development performance over the past five years.</li><li>Establish a root and branch inquiry into strengthening Australia's research capabilities across the whole of government.</li></ul></div><div><br></div>",,,28/11/2018,,"Industry, Innovation and Science",Press Release,Leader,National,5,,,,,With Policy Area,88
National Science Charter,Australian Labor Party,"Labor has committed to developing a charter with the Australian science and research community to establish the reciprocal roles, responsibilities and expectations of government and researchers.&nbsp;<div><br></div><div>The charter will:&nbsp;</div><div><ul><li>Affirm the fundamental respect for academic freedom</li><li>Review and strengthen the National Science and Research priorities</li><li>Establish a Prime Minister's Science and Innovation Council, responsible for identifying our
national priorities in science and research.</li></ul></div><div><div><br></div></div>",,,28/11/2018,,"Industry, Innovation and Science",Press Release,Leader,National,5,,,,,With Policy Area,89
Increase Funding for Research and Development,Australian Labor Party,"Labor has committed to reversing the decline in Australia's research and development performance.<div><br></div><div>To do this, Labor will</div><div><ul><li>Lift Australian spending on research and development from 1.8 per cent of Gross Domestic Product to three per cent. </li><li>Restore the integrity of the Australian Research Council by legislating a requirement that Ministers must table an explanation in Parliament within 15 sitting days of rejecting any recommendation of funding by the Chief Executive Officer.</li></ul></div>",,,28/11/2018,,"Industry, Innovation and Science",Press Release,Leader,National,5,,,,,With Policy Area,90
Inquiry into Strengthening our Research Capabilities Across the Whole of Government,Australian Labor Party,"Labor has committed to establish a once in a generation, root-and-branch inquiry into strengthening our research capabilities across the whole of government.

The review’s terms of reference will build on the experience of similar reviews undertaken by Canada and the UK.<div><br></div><div>The Review will be led by the former Chief Scientist and former Vice-Chancellor of the Australian National University, Prof Ian Chubb AC. Other members of the review panel include:</div><div><br></div><div><ul><li>Prof Christobel Saunders AO FRCS FRACS FAAHMS</li><li>Prof Emma Johnston AO FRSN</li><li>Prof Andrew Holmes AC FRS FAA FTSE</li><li>Prof Karen Hussey</li><li>Mr Phil Clark AM</li><li>Prof Glyn Davis AC FASSA FIIPA</li></ul></div>",,,28/11/2018,,"Industry, Innovation and Science",Press Release,Leader,National,5,,,,,With Policy Area,91
Closing the Gender Pay Gap,Australian Labor Party,"Labor has committed to lead a national push to close the gender pay gap.<div><br></div><div>Labor will:</div><div><ul><li>Legislate so companies with more than 1000 employees have to report their gender pay gap publicly.</li><li>Change the <i>Fair Work Act 2009</i> to prohibit pay secrecy clauses and give the employees the right to disclose (or not disclose) their pay and make gender pay equity an object of the Act.<br></li><li>Require the Workplace Gender Equality Agency to publish a list that shows whether a company with more than 1,000 employees has undertaken a gender pay gap audit and reported the result to its board.</li><li>Establish a statutory Equal Remuneration Principle, to guide the Fair Work Commission’s consideration of whether feminised industries are paid fairly.</li><li>Establish a new Pay Equity Panel within the Commission led by a new Presidential Member with specific expertise in gender pay equity.</li><li>Fund the Commission to establish a Pay Equity Unit that will provide expert research support during equal remuneration matters.</li><li>Reverse cuts to penalty rates, which disproportionately impact women.</li><li>Invest $400 million to boost women’s superannuation balances.</li><li>Set staged and progressive targets to close the gender pay gap, and make an annual statement to Parliament on progress.</li><li>Require all Australian Government departments and agencies to conduct gender pay audits within the first year of a Labor Government.</li></ul><div></div></div>",,,23/09/2018,,Jobs and Small Business,Press Release,Relevant Spokesperson,National,4,,,,,With Policy Area,92
Restoring Weekend Penalty Rates,Australian Labor Party,"Labor has committed to restore weekend penalty rates for up to 700,000 workers and to change the law to protect the overall take-home pay of working Australians.",,,28/06/2017,,Jobs and Small Business,Press Release,Leader,National,2,,,,,With Policy Area,93
Ten days domestic and family violence leave,Australian Labor Party,<div>Labor has committed to legislate for ten days paid domestic and family violence leave in the National Employment Standards (NES).<br></div><div><br></div>,,,5/12/2017,,Jobs and Small Business,Press Release,Relevant Spokesperson,National,3,,,,,With Policy Area,94
National System of Safe Rates,Australian Labor Party,Labor has committed to legislate for a national system of Safe Rates consisting of an independent body with responsibility for safe standards of work including fair payments and conditions.,,,18/12/2018,,"Infrastructure, Regional Development and Cities",Press Release,Relevant Spokesperson,National,4,,,,,With Policy Area,95
"Local Projects, Local Jobs Plan - Overview",Australian Labor Party,"Labor has committed to boost local jobs by ensuring more government contracts and major projects are delivered by local businesses, bringing significant economic benefit to local communities around Australia.<br><div><br></div><div>The three-point plan for Local Projects, Local Jobs includes:</div><div><ul><li>better access to government contracts for local businesses&nbsp;</li><li>supporting local business at home and abroad&nbsp;</li><li>more local apprentices and boosting local TAFEs.</li></ul></div>",,,21/01/2019,,Jobs and Small Business,Press Release,Leader,National,5,,,,,With Policy Area,96
Funding for Keeping Women Safe in Their Homes - continuation,Australian Labor Party,"Labor has committed $18 million over three years to 2021-22 to ensure that the Keeping Women Safe In Their Homes program continues.<div><br></div><div>This program provides practical help for women and their children in their homes, allowing them to live safely away from perpetrators through:</div><div><ul><li>expert safety assessments and safety planning</li><li>home safety upgrades and devices, such as new locks, alarms, cameras and safety phones</li><li>screening for bugs to ensure privacy</li><li>supporting women in enforcing Apprehended Violence Orders.<br></li></ul></div>",$18 million over three years,,27/11/2018,,Prime Minister and Cabinet,Press Release,Leader,National,1,,,,,With Policy Area,97
Superannuation Contributions - Commonwealth Paid Parental Leave,Australian Labor Party,Labor has committed that recipients of Commonwealth Paid Parental Leave and Dad and Partner Pay payments will continue to receive superannuation contributions.&nbsp;,,,19/09/2018,,Treasury,Door Stop,Leader,National,4,,,,,With SCIT,98
Superannuation Guarantee - Phasing Out of Income Threshold Eligibility,Australian Labor Party,"Labor has committed to phase out the $450 minimum monthly income threshold for eligibility for the superannuation guarantee.
The threshold will fall by $100 every year and cease to exist by 2024. As part of this commitment, Labor will consider and publish the impact that any future changes to super would have on women.&nbsp;<div><div><br></div><div><br></div></div>",,,19/09/2018,,Treasury,Door Stop,Leader,National,4,,,,,With SCIT,99
"Multinational, Tax Haven and Tax Integrity Package - Overview",Australian Labor Party,"Labor has committed to implement a number of measures targeting multinational tax avoidance and high wealth tax dodgers, saving the budget $4.8 billion over the next decade.<div><br></div><div>Labor will:</div><div><ul><li>Tighten debt-deduction loopholes used by multinational companies, improving the Budget by $3 billion over the medium term.</li><li>Cap deductions for managing tax affairs at $3,000.</li><li>Close a debt deduction loophole to ensure consistent treatment in related party financing arrangements.</li><li>Automatically deny deductions from companies for travel to and from tax havens.</li><li>Increase penalties for individuals and entities promoting tax evasion and avoidance.</li><li>Crack down on citizenship shopping by requiring all individual Australian taxpayers to notify and declare to the Australian Taxation Office (ATO) if they have residency or citizenship of any other jurisdiction and the name of that jurisdiction.</li><li>Introduce public reporting of country-by-country reports, ensuring the release of high-level tax information about where and how much tax was paid by large corporations (over $1 billion in global revenue).</li><li>Provide protection for whistleblowers who report on entities evading tax to the ATO and, where whistleblowers’ information results in more tax being paid, allow them to collect a share of the tax penalty (a reward of up to $250,000).</li><li>Introduce a publicly accessible registry of the beneficial ownership of Australian listed companies and trusts, allowing the public to find out who really owns our firms.</li><li>Introduce mandatory shareholder reporting of tax haven exposure, requiring companies to disclose to shareholders as a ‘Material Tax Risk’ if the company is doing business in a tax haven.</li><li>Appoint a community sector representative to the Board of Taxation to ensure community sector voices are heard in tax design and review processes.&nbsp;</li><li>Introduce public reporting of Australian Transaction Reports and Analysis Centre (AUSTRAC) data and require the annual public release of international cash flow data.</li><li>Require all firms tendering for Australian Government contracts worth more than $200,000 to state their country of domicile for tax purposes.</li><li>Develop guidelines for tax haven investment by superannuation funds.</li><li>Require that the ATO’s annual report provide information on the number and size of tax settlements.</li><li>Restore Labor’s $100 million threshold for public reporting of tax data for private companies.<br></li></ul></div>",,,31/10/2018,,Treasury,Press Release,Leader,National,5,,,,,With Policy Area,100
Free Tax Clinics,Australian Labor Party,"Labor has committed $4 million over the forward estimates to make it easier for disadvantaged Australians to get tax help.<div><br></div><div>Labor will:</div><div><ul><li>Secure the ongoing tax clinic trial at Curtin University in Perth</li><li>Expand tax clinic concept to up to 10 universities, with each clinic receiving $150,000 per year.</li><li>Legislate a carve our in tax practitioner law to allow for these clinics to register as tax agents.</li><li>Give the ten tax clinics Deductible Gift Recipient status, by naming them in tax legislation.</li></ul></div>",$4 million over the forward estimates,,19/11/2018,,Treasury,Press Release,Relevant Spokesperson,National,1,,,,,With Policy Area,101
ATO Commissioner - Additional powers to name individuals and entities for serious tax offences (Phoenix directors),Australian Labor Party,<div>Labor has committed to grant the Tax Commissioner the powers to name individuals and entities as a penalty for the most serious tax offences.</div><div><br></div><div>The Tax Commissioner would also have the power to apply to the Australian Securities and Investments Commission (ASIC) to have them formally seek disqualification orders for directors who engaged in or oversaw serious non-compliance.</div>,,,5/11/2018,,Treasury,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,102
New Limits to Negative Gearing,Australian Labor Party,Labor has committed to limit negative gearing to new dwellings from a yet-to-be-determined date after the election. All investments made before that date will not be affected and will be fully grandfathered.<div><br></div>,,,13/02/2016,,Treasury,Policy document,Leader,National,1,,,,,With Policy Area,103
Tax Refund for Working Australians ,Australian Labor Party,"Labor has committed $5.8 billion over the forward estimates for a Tax Refund for Working Australians, delivering bigger tax cuts for ten million working Australians earning less than $125,000 a year.",$5.8 billion over the forward estimates,,10/05/2018,,Treasury,Press Release,Leader,National,1,,,,,With Policy Area,104
Establishment of an Office of the Evaluator General,Australian Labor Party,"Labor has committed $5 million per year from 2019-20 to establish an Office of the Evaluator General within Treasury, which will work with other departments to conduct high-quality evaluations, preferably randomised trials, of government programs.",$5 million peryear,,13/11/2018,,Treasury,Press Release,Relevant Spokesperson,National,1,,,,,,105
Catholic and Independent Schools Funding Package,Coalition,The Coalition has committed to an additional $4.6 billion for private school funding over the next 10 years. ,$4.6 billion over 10 years,,20/09/2018,,Education and Training,Press Release,Leader,National,5,,Catholic and Independent Schools Funding Package (C),,,,106
Catholic and independent schools - Transition to new SES model,Coalition,The Coalition has committed $3.2 billion from 2020 to 2029 to help schools transition to the new SES model. ,"$3,200.000 from 2020-2029",,20/09/2018,,Education and Training,Press Release,Leader,National,5,,Catholic and Independent Schools Funding Package (C),,,,107
Catholic and independent schools - Choice and Accessibility Fund,Coalition,"The Coalition has committed to include a new $1.2 billion 'choice and accessibility fund', starting in 2020, for private schools in regional, rural and remote areas, and schools affected by drought. ","$1,200.000",,22/09/2018,,Education and Training,Press Release,Leader,National,4,,Catholic and Independent Schools Funding Package (C),,,,108
50 New Jobs for the South Coast,Australian Labor Party,"<div>Labor has committed to create 50 permanent full time Department of Human Services jobs in the South Coast region, including Nowra, Ulladulla and Batemans Bay.</div>",Undefined,,6/02/2019,,Human Services,Press Release,Leader,Electorate,5,,,,,With Policy Area,109
Eurobodalla Hospital,Australian Labor Party,"<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Labor has committed $25 million to help build a new Eurobodalla Hospital.</p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">Funding will go towards:</p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;""></p><ul><li>a state of the art emergency department</li><li>operating theatres</li><li>maternity and paediatric services</li><li>pathology services</li><li>radiology services including X-ray, ultrasound and CT scanning</li><li>palliative care</li><li>a helipad</li><li>up to 20 mental health beds</li><li>community drug and alcohol services</li><li>a rehabilitation unit.</li></ul><p></p><p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; line-height: normal; background-image: initial; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial;"">&nbsp;Labor will consult extensively with the Eurobodalla community to determine the best site for the new hospital.</p>",$25 million,,5/02/2019,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,110
Rockhampton - Rocky Ring Road ,Coalition,The Coalition has committed to build Rockhampton's $1 billion ring road. The project will be subject to the Queensland Government agreeing to cover 20 per cent of the costs.,$800.000,,7/11/2018,,"Infrastructure, Regional Development and Cities",Door Stop,Leader,Electorate,5,,,,,,111
Small Business Mental Health Package,Coalition,"The Coalition announced specific funding for mental health assistance for small business, as well as tasking the PC to conduct an inquiry into the effect of supporting mental health on economic and social participation, productivity and the Australian economy.<div><br></div><div><div>The small business mental health package includes:</div><div><ul><li>$3.1 million to expand the trial of leading mental health organisation Everymind’s ‘Ahead for Business’ program, targeted at supporting small and family business - particularly sole proprietors.</li><li>$500,000 as initial support for a nationwide government campaign to promote existing mental health resources for small business</li><li>An inaugural small business mental health roundtable with key stakeholders across the small business and mental health sectors to inform this policy area, particularly for regional and rural Australia.</li></ul></div></div>",$13.520,,9/12/2018,,Health,Press Release,Relevant Spokesperson,National,5,,,,,,112
Crack Down on Corporate Crime,Australian Labor Party,Labor has committed to crack down on corporate crime by increasing jail terms and financial penalties.&nbsp;,,,4/02/2019,,Attorney-General's,Press Release,Leader,National,5,,,,,With Policy Area,113
Vietnamese Cultural Centre,Australian Labor Party,Labor has committed $4.45 million to support the construction of the first Vietnamese Cultural Centre and Museum in Australia. The Centre will be located in Footscray and will be built by 2025.&nbsp;<div><br></div>,$4.45 million,,3/02/2019,,Communications and the Arts,Press Release,Leader,Electorate,5,,,,,With Policy Area,114
Community Renewables on the South Coast,Australian Labor Party,"Labor has committed to establish a Community Power Hub in the New South Wales Far South Coast.&nbsp;<div><br></div><div>The program is aimed at helping renters and social housing residents benefit from cheaper and cleaner renewable energy, by supporting local community renewables projects such as solar gardens on rooftops, community wind farms, energy efficient upgrades for social housing and grants for community groups to pilot new projects.<br><div><br></div><div><div><br></div><div><div><span style=""color: rgb(51, 51, 51); font-family: Gotham-Book, sans-serif; font-size: 14px;"">&nbsp;</span></div></div></div></div>",,,29/01/2019,,Environment and Energy,Press Release,Leader,Electorate,5,,,,,With Policy Area,115
Equipping our ADF personnel with greater choice,Australian Labor Party,"Labor has committed to giving Australian Defence Force (ADF) members choice to select their issued boots for service. Labor’s approach will see Defence provide a greater range of pre-approved boots, letting ADF members choose from a range of pre-approved boots that meet their individual needs while also meeting the requirements of their service.",,,25/01/2019,,Defence,Press Release,Leader,National,5,,,,,With Policy Area,116
One Hundred Extra Jobs for Cairns,Australian Labor Party,Labor has committed to create 100 permanent full time Department of Human Services jobs in Cairns.<div><br><div>The 100 jobs will include local service delivery and call centre roles that will provide support for people across Australia.</div></div>,,,25/01/2019,,Human Services,Press Release,Leader,Electorate,5,,,,,With Policy Area,117
Two Hundred Extra Jobs for Townsville,Australian Labor Party,Labor has committed to create 200 permanent full time Department of Human Services jobs in Townsville.&nbsp;<div><br><div>The 200 jobs will include local service delivery and call centre roles that will provide support for people across Australia.</div></div>,,,25/01/2019,,Human Services,Press Release,Leader,Electorate,5,,,,,With Policy Area,118
New Entertainment Centre for Proserpine,Australian Labor Party,"Labor has committed $5 million to rebuild the Proserpine Entertainment Centre, creating 43 local jobs in construction.<div><br></div><div>Labor's investment will go towards reconstruction of a new complex, including:</div><div><ul><li>the capacity for a 300 seat auditorium for live shows and events<br></li><li>a conference and function space with a capacity for 256<br></li><li>full access for people with disability<br></li><li>enhanced facilities including green room, change rooms, loading dock and prop storage.<br></li></ul></div><div><br></div>",$5 million,,24/01/2019,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,,,With Policy Area,119
Rejuvenate Great Keppel Island,Australian Labor Party,"Labor has committed $25 million to rejuvenate Great Keppel Island, helping to grow tourism, create jobs and deliver an $80-million-a-year boost to the region's economy.<div><br></div><div>Labor's investment - which matches the Queensland Government investment - will deliver new infrastructure for permanent and reliable electricity and water supply on the Island.</div>",$25 million,,23/01/2019,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,,,With Policy Area,120
Farm Productivity and Sustainable Profitability Plan,Australian Labor Party,"Labor has committed $100 million per year to help farmers build defences to drought, lift productivity and secure sustainable profitability.<div><br></div><div>A Farm Productivity and Sustainable Profitability Plan will be developed by an expert panel including scientists, economists, research bodies and farm industry leaders. The Panel of Guardians will be in place within 60 days following an election and will report to Government within 12 months.</div>",$100 million per year,,11/02/2019,,Agriculture and Water Resources,Press Release,Relevant Spokesperson,National,2,,,,,With Policy Area,121
National Standards for Private Drug and Alcohol Treatment Providers,Australian Labor Party,"Labor has committed to task the Australian Commission on Safety and Quality in Healthcare with developing a national accreditation process for rehabilitation treatment services. This will be done cooperatively with states and territories through the COAG Health Council.<div><br></div><div>This will address issues with:</div><div><ul><li>Workforce - there's currently no standard to govern the workforce within treatment facilities - meaning people with little or no qualifications are currently allowed to run private rehabilitation programs.</li><li>Quality - a lack of regulation means that for-profit providers can charge exorbitant amounts for treatment, with no clinical evidence.</li><li>Consistency - publicly funding drug and alcohol services are already overseen by Commonwealth, state and territory agencies, as all services should be. A national accreditation process will build confidence across the sector.</li></ul></div>",,,3/11/2017,,Health,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,122
Deliver Second Stage of the Mackay Ring Road,Australian Labor Party,"Labour has committed $280 million to deliver the second stage of the Mackay Ring Road.<div><br></div><div>Also known as the Mackay Port Access Road, this next stage of the Ring Road will connect the Bruce Highway north of Mackay at Glenella to Harbour Road via an 8.2 kilometre corridor south of the rail line. It will provide direct access to the Port, as well as the Paget Industrial Area and the resource developments occurring in the Bowen Basin.</div>",$280 million,,23/01/2019,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,5,,,,,With Policy Area,123
Ovarian Cancer Australia's National Action Plan for Ovarian Cancer Research,Australian Labor Party,"Labor has committed $12 million towards Ovarian Cancer Australia’s National Action Plan for Ovarian Cancer Research. This investment will see the creation of a National Ovarian Cancer Registry, further development of the bio-specimen bank and three new clinical trials.",$12 million,,5/02/2018,,Health,Press Release,Relevant Spokesperson,National,5,,,,,With Policy Area,124
Tasmania - Elective surgery backlog,Australian Labor Party,Labor has committed $30 million to help clear elective surgery waiting lists in Tasmania.,$30 million,,18/02/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,125
Improve Cairns Hospital Emergency Department,Australian Labor Party,"Labor has committed $15 million to deliver a major redevelopment of the Cairns Hospital Emergency Department, to improve safety for patients and staff and bring down waiting times.<div><br></div><div>The redevelopment will include:</div><div><ul><li>an increase in adult short stay capacity from 8 to 16 adult beds<br></li><li>a 4-bed paediatric short stay unit<br></li><li>improvements to resuscitation bays and trauma treatment spaces<br></li><li>front of house improvements to provide dedicated space fro ambulance offload<br></li><li>better tele-health facilities.<br></li></ul><div>This will be funded as part of Labor's $2.8 billion Better Hospitals Fund, with funds made available immediately and work completed within 12 months.</div></div>",$15 million,,22/01/2019,,Health,Press Release,Leader,Electorate,1,,,,,With Policy Area,126
Reproductive Health Hub - Tasmania,Australian Labor Party,"Labor has committed $1 million towards building a Reproductive Health Hub in Tasmania. The Hub will provide surgical terminations as part of the public hospital system, with ongoing costs contributed to under the usual Commonwealth-state arrangements.",$1 million,,20/02/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,127
Mental Health Unit at Joondalup Health Campus,Australian Labor Party,"Labor has committed $154 million to build a new, state-of-the-art, 75-bed mental health unit at the Joondalup Health Campus.<div><br></div>",$154 million,,5/03/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,128
Fair Share for WA Fund,Australian Labor Party,"Labor has committed to invest $1.6 billion in a Fair Share for WA Fund – bringing Commonwealth funding for Western Australia up to the equivalent of a 70 cent floor.

The Fair Share for WA Fund will be enshrined in legislation and include a statutory obligation to invest all proceeds into Western Australian projects – creating jobs and boosting economic growth across the state.",$1.6 billion,,26/08/2017,,Treasury,Press Release,Leader,State,5,,,,,,129
National Hydrogen Plan - Overview,Australian Labor Party,"<div>Labor has committed $1 billion to the National Hydrogen Plan.<br></div><div><br></div><div>The six point-plan for hydrogen will:</div><div><ul><li>Allocate $1 billion of Clean Energy Finance Corporation (CEFC) funding to support clean hydrogen development, from Labor's commitment to double the CEFC's capital by $10 billion.<br></li><li>Invest up to $90 million of unallocated funding from the Australian Renewable Energy Agency (ARENA) to support research, demonstration and pre-commercial deployment of hydrogen technologies.</li><li>Establish a $10 million ARENA funding round for hydrogen refuelling infrastructure around the nation, form with ARENA's unallocated funding.</li><li>Invest $40 million of unallocated funding from the CEFC Clean Energy Innovation Fund to target hydrogen technologies and businesses that have passed the research and development stage.<br></li><li>Implement regulatory reforms that will help industry develop and prosper.</li><li>Establish the National Hydrogen Innovation Hub in Gladstone with an initial investment of $3 million.</li></ul></div>",$1 billion,,22/01/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,130
Chemotherapy Treatment Service at Caboolture Hospital,Australian Labor Party,Labor has committed $10 million to establish a chemotherapy treatment service at Caboolture Hospital.,$10 million,,25/05/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,131
"Hydrogen Research, Demonstration and Pre-commercialisation Funding",Australian Labor Party,"Labor has committed that $90 million of ARENA's unallocated funding will be used to support research, demonstration and pre-commercial deployment of hydrogen technologies, as well as making hydrogen production, storage and transport a funding priority of the Australian Research Council.",,,22/01/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,132
Funding for TazReach Health Services,Australian Labor Party,"Labor has committed $4.5 million to restore funding for TazReach Health Services, providing access to critical medical services such as obstetricians, psychiatrists, cardiologists and optometrists.",$4.5 million,,28/05/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,133
West Park Oval Upgrade,Australian Labor Party,"Labor has committed $350,000 to upgrade facilities at West Park Sports Facility, Burnie, to better support girls and women’s participation in sport and for the installation of a state-of-the-art electronic scoreboard.","$350,000",,5/06/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,134
Hydrogen Regulatory Reforms,Australian Labor Party,"Labor has committed to implement regulatory reforms what will help the hydrogen industry to develop and prosper, including:<div><ul><li>reforms to support the use of existing gas pipelines for hydrogen<br></li><li>reforms to support the shipping of hydrogen<br></li><li>reforms to better support the storage of carbon dioxide from blue and brown hydrogen production<br></li><li>as well as other reforms to support hydrogen use and production.<br></li></ul></div>",,,22/01/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,135
National Hydrogen Innovation Hub,Australian Labor Party,"Labor has committed $3 million to establish a National Hydrogen Innovation Hub in Gladstone. The Hub will kick-start early commercialisation of hydrogen technologies, provide a hub for the Australian Renewable Energy Agency, researchers and other agencies, and develop opportunities for leveraging Liquefied Natural Gas infrastructure to support hydrogen exports.",$3 million,,22/01/2019,,Environment and Energy,Press Release,Leader,National,5,,,,,With Policy Area,136
Rebuilding the Heart of Kinglake,Australian Labor Party,"Labor has committed $750,000 towards the revitalisation of the Kinglake community. The revitalisation will include a revamped town centre and streetscape, renewal of visitor facilities, upgrades of key roads and new planting and signage.","$750,000",,15/11/2018,,"Infrastructure, Regional Development and Cities",Press Release,Leader,Electorate,4,,,,,With Policy Area,137
Save our Footy Fund - Tasmania,Australian Labor Party,"Labor has committed $5 million to support Tasmania's next generation of male and female football stars.

The fund will help local clubs invest in projects such as the construction of modern and female friendly change rooms, improving the quality of playing surfaces and new training equipment and facilities.",$5 million,,5/07/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,138
Upgrade of the Kalamunda District Community Hospital,Australian Labor Party,"Labor has committed $7.6 million towards a major upgrade of the Kalamunda District Community Hospital.<div><br></div><div>With this investment, the hospital will be transformed into a Palliative Care Centre of Excellence. The upgrades will include:</div><div><ul><li>new infrastructure like ceiling hoists to support comfortable movement of patients<br></li><li>more private bathrooms<br></li><li>family facilities for partners, carers and children to sleep over and refresh<br></li><li>development of family rooms where partners can co-sleep during late end of life<br></li><li>courtyard landscaping to provide a peaceful and external environment for patients and families<br></li><li>installation of a new ICT system to support those patients unable to travel through the use of tele-health services<br></li><li>refurbishment of the Day Procedure area to a contemporary standard.<br></li></ul></div>",$7.6 million,,9/11/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,139
Support for the Establishment of an AFL Club in Tasmania,Australian Labor Party,"Labor has commited $25 million to help establish an AFL club in Tasmania, contingent on the AFL granting a licence to compete in both men’s and women’s leagues.<div><br></div><div>Labor will make $1 million of this funding available to assist with the establishment of Tasmanian VFL and TAC sides once a licence to compete is confirmed.</div>",$25 million,,7/07/2018,,Health,Press Release,Leader,State,5,,,,,With Policy Area,140
Establishment of a New Headspace - Burnie,Australian Labor Party,Labor has committed to create a new Burnie headspace to deliver greater early intervention mental health services for those aged 12 to 25 years.,,,8/07/2018,,Health,Press Release,Leader,Electorate,5,,,,,With Policy Area,141
